07:50:34 [Skill] INFO  Skill:135 - Connecting to broker 192.168.0.105:1932...
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:35 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:36 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
07:50:37 [Skill] WARN  BrokerClient: 77 - Connection refused (Connection refused) (is the server running and reachable?)
